# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
an qi ao ding ding ding ding ding ding ding ding dang di de ao deng da di de dui de dao dan de dui de dao dan ding ding ding ding da sa a a a a an a ding wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wa wa a a a a a a a a a a a a a a a a a a a a a a a a a a wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wa wa wa a a a a a a a a a a a a a a a a a a wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wu wu wu wei wei de 	安奇奥顶顶顶顶顶顶顶顶当地的奥登大帝地对地导弹地对地导弹顶顶顶顶搭撒啊啊啊啊氨吖啶汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪娃娃啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪哇哇哇啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪呜呜呜微微的	c=1 d=1 t=18484
an quan 	安全	c=20 d=1.40537 t=71888
an quan de 	安全的	c=1 d=1 t=73198
an quan xing 	安全性	c=3 d=1 t=63829
an sha an 	暗杀案	c=0 d=0.1 t=45065
an sha an shi da fu 	暗杀案士大夫	c=1 d=1 t=45066
an sha ji hua 	暗杀计划	c=1 d=1 t=46724
an shi fan 	按时返	c=0 d=1.17511e-17 t=17463
an shi fan shi da fu sa dan 	按时返士大夫撒旦	c=1 d=1.181e-16 t=17463
an ta 	安踏	c=2 d=1 t=39465
an tai ke 	安钛克	c=1 d=6.91087e-07 t=17463
an xi 	安息	c=1 d=1 t=16559
an xia 	按下	c=1 d=3.9136e-23 t=17463
an xin 	安心	c=2 d=1 t=44566
an xu 	按需	c=0 d=0.1 t=34062
an xu ti huan 	按需替换	c=1 d=1 t=34063
an ye 	俺也	c=1 d=1 t=77586
an ye yi yang 	俺也一样	c=1 d=1 t=53088
an yi xia 	按一下	c=1 d=1 t=46123
an zhao 	按照	c=9 d=1 t=78484
an zhao cha ru 	按照插入	c=1 d=1 t=65725
an zhu 	按住	c=1 d=1 t=75099
an zhuang 	安装	c=98 d=1.06342 t=78934
an zhuang ban 	安装版	c=1 d=1 t=74537
an zhuang bao 	安装包	c=5 d=3.26901e-23 t=17463
an zhuang de 	安装的	c=1 d=1.4605e-15 t=17463
an zhuang guo 	安装过	c=1 d=1 t=46235
an zhuang hou 	安装后	c=4 d=1 t=64965
an zhuang jiao cheng 	安装教程	c=1 d=1 t=64852
an zhuang mu lu 	安装目录	c=1 d=1 t=46459
an zhuang shang 	安装上	c=1 d=1 t=46200
an zhuo 	安卓	c=3 d=1 t=21559
an zhuo mo ni qi 	安卓模拟器	c=1 d=1 t=67456
ang 	昂	c=0 d=1.15223e-21 t=17463
ang si 	盎司	c=3 d=1 t=64050
ang si di gong an shou dao gai 	盎司狄公案受到改	c=1 d=1 t=31091
ang si fa sheng de 	盎司发生的	c=1 d=6.17166e-29 t=17463
ang si jiu kai le dian fu jin a suan le 	盎司就开了点附近啊算了	c=1 d=1 t=42825
ang si lai kan de fu jin an lian shi dang fang kuan jiang 	盎司来看得附近暗恋适当放宽将	c=1 d=1 t=34999
ang si liang di fen ju 	盎司两地分居	c=2 d=1.98511 t=48727
ao 	熬	c=4 d=0.1 t=74671
ao chu 	熬出	c=0 d=0.1 t=32452
ao deng da di 	奥登大帝	c=0 d=0.1 t=18483
ao pan 	澳盘	c=0 d=0.1 t=54087
ao xian 	凹陷	c=1 d=1 t=21653
ao ye 	熬夜	c=2 d=1 t=38410
ao yun 	奥运	c=1 d=1 t=35509
ba 	八	c=1 d=1.72637e-12 t=17463
ba 	吧	c=257 d=2.45814 t=79865
ba 	把	c=65 d=1.00887 t=78858
ba 	爸	c=1 d=1 t=48806
ba an 	把俺	c=1 d=1 t=28249
ba ba 	爸爸	c=12 d=1 t=45029
ba ba 	粑粑	c=1 d=1.0712e-15 t=17463
ba bai 	八佰	c=1 d=5.08447e-14 t=17463
ba ban tian 	吧半天	c=1 d=1 t=16701
ba chu 	拔出	c=1 d=1 t=56455
ba de 	八德	c=0 d=7.85399e-13 t=17463
ba fei te 	巴菲特	c=1 d=1 t=76770
ba gong 	罢工	c=1 d=1 t=22666
ba gua lu 	八卦炉	c=2 d=1.12124 t=56083
ba hao 	把号	c=1 d=1 t=22888
ba hua 	把话	c=1 d=5.82036e-16 t=17463
ba huang hou 	八皇后	c=1 d=1 t=39266
ba jin zhi 	八进制	c=2 d=1.0022 t=19961
ba le 	拔了	c=1 d=1 t=48341
ba le tu 	巴乐兔	c=1 d=1 t=76847
ba na 	把那	c=0 d=0.1 t=17342
ba ni 	把你	c=12 d=1 t=47857
ba ni de 	把你的	c=3 d=1 t=79869
ba ren 	把人	c=1 d=1 t=30846
ba ren wu 	吧任务	c=1 d=3.94755e-07 t=17463
ba ta 	把它	c=1 d=1 t=34860
ba wa 	把娃	c=0 d=0.1 t=25221
ba wo 	把我	c=1 d=3.68067e-07 t=17463
ba wo 	把握	c=1 d=2.76265e-14 t=17463
ba yue di 	八月底	c=1 d=1 t=27764
ba zhong 	八种	c=1 d=1 t=54446
bai 	白	c=7 d=1 t=56079
bai 	百	c=2 d=1 t=24432
bai bai 	拜拜	c=1 d=1 t=49753
bai bai 	白白	c=1 d=0.100009 t=21592
bai chuang kou 	白窗口	c=1 d=5.47191e-25 t=17463
bai dian 	白点	c=0 d=0.1 t=20679
bai du 	百度	c=17 d=0.1 t=77753
bai du bai ke 	百度百科	c=3 d=2.78945e-23 t=17463
bai du tie ba 	百度贴吧	c=1 d=1 t=15505
bai du wang pan 	百度网盘	c=1 d=1.31108e-10 t=17463
bai duo 	白堕	c=1 d=1 t=24431
bai gei 	白给	c=1 d=1 t=28724
bai gui 	白鬼	c=1 d=1 t=26808
bai hao 	摆好	c=1 d=9.69094e-14 t=17463
bai hua mian 	白画面	c=1 d=2.61028e-23 t=17463
bai jiu 	白酒	c=1 d=1 t=56341
bai lan 	摆烂	c=1 d=1 t=77588
bai liang 	白亮	c=1 d=1 t=42955
bai ling 	白领	c=1 d=1 t=42956
bai ming dan 	白名单	c=1 d=1 t=52142
bai nao hui 	百脑汇	c=1 d=1 t=18279
bai ni 	白泥	c=1 d=1 t=19290
bai pi shu 	白皮书	c=1 d=1 t=17724
bai piao 	白瞟	c=4 d=1 t=40741
bai piao 	白票	c=2 d=0.0361528 t=17463
bai ping 	白屏	c=1 d=1 t=51571
bai ren 	白人	c=1 d=1 t=55763
bai se 	白色	c=8 d=1.47132 t=56366
bai se ren zhong 	白色人种	c=3 d=2.14378 t=56137
bai shi 	百事	c=12 d=11.508 t=16834
bai shi ke le 	百事可乐	c=1 d=1 t=16810
bai tuo le 	拜托了	c=1 d=1 t=40359
bai wan 	百万	c=1 d=4.24546e-10 t=17463
bai wei 	百威	c=2 d=1 t=49156
bai xiang 	白象	c=2 d=1.99501 t=67467
bai zhao 	百兆	c=2 d=1.00056 t=43548
bai zhong ren 	白种人	c=1 d=1 t=55790
ban 	伴	c=0 d=2.64064e-13 t=17463
ban 	办	c=4 d=1 t=44803
ban 	半	c=1 d=3.46091e-18 t=17463
ban 	搬	c=5 d=1.30671 t=79954
ban 	板	c=1 d=1.9906e-11 t=17463
ban 	版	c=42 d=1 t=78137
ban 	班	c=9 d=1 t=48982
ban ban 	斑斑	c=1 d=1 t=15219
ban bao wei 	半包围	c=1 d=1 t=21420
ban ben 	版本	c=121 d=1.17401 t=79374
ban ben hao 	版本号	c=1 d=1 t=35564
ban de 	版的	c=2 d=1 t=18122
ban fa 	办法	c=3 d=1 t=76896
ban ge 	半个	c=2 d=1 t=44916
ban gong 	办公	c=9 d=1.03378 t=77125
ban hui 	扳回	c=0 d=0.1 t=69414
ban jia 	半价	c=4 d=1.99501 t=41876
ban jia 	搬家	c=5 d=1 t=79958
ban jiao 	半角	c=4 d=1 t=44911
ban jing 	半径	c=0 d=0.1 t=69501
ban lai 	搬来	c=1 d=1 t=23657
ban lang 	伴郎	c=1 d=1.59256e-05 t=17463
ban le 	搬了	c=1 d=1 t=77607
ban li 	办理	c=5 d=1.99501 t=36715
ban li 	班里	c=1 d=1 t=20873
ban ni 	伴你	c=3 d=1 t=77307
ban nian 	半年	c=1 d=2.96196e-10 t=17463
ban ping 	半屏	c=1 d=1 t=19330
ban ping 	半瓶	c=1 d=0.0475963 t=17463
ban quan 	版权	c=2 d=1.90032 t=70997
ban tian 	半天	c=3 d=1 t=42852
ban wan 	搬完	c=1 d=1 t=44842
ban xie 	板鞋	c=2 d=1.92312 t=30713
ban ye 	半夜	c=1 d=1 t=44831
ban zhang 	班长	c=2 d=1.96079 t=40997
ban zi dong 	半自动	c=2 d=1.96561 t=18880
ban zui 	拌嘴	c=2 d=1.19014 t=78456
bang 	帮	c=1 d=1 t=19556
bang 	棒	c=3 d=1 t=74922
bang 	榜	c=1 d=1 t=47166
bang 	磅	c=1 d=1 t=75653
bang bang 	帮帮	c=4 d=1.01455 t=40842
bang bang 	棒棒	c=0 d=0.1 t=46516
bang bang da 	棒棒哒	c=1 d=1 t=46517
bang bang wo 	帮帮我	c=1 d=1 t=46875
bang bu liao 	帮不了	c=1 d=1 t=79005
bang dan 	磅单	c=10 d=1.50153 t=77798
bang ding 	绑定	c=32 d=1.2018 t=77508
bang le 	帮了	c=1 d=1 t=67399
bang mang 	帮忙	c=3 d=1 t=79764
bang ni 	帮你	c=11 d=1.08716 t=76568
bang wo 	帮我	c=27 d=1.00296 t=79957
bang zhu 	帮助	c=5 d=2.55585 t=61133
bao 	保	c=1 d=1 t=41604
bao 	包	c=101 d=1.00015 t=78974
bao 	宝	c=14 d=2.02251 t=78996
bao 	报	c=2 d=1 t=35193
bao 	抱	c=2 d=1 t=20712
bao bao 	宝宝	c=6 d=1.956 t=48434
bao bao 	抱抱	c=5 d=1 t=78362
bao bao 	饱饱	c=1 d=1 t=33715
bao bei 	宝贝	c=7 d=1.00009 t=78440
bao bei er 	宝贝儿	c=2 d=1 t=19944
bao biao 	报表	c=69 d=12.5685 t=43707
bao chi 	保持	c=7 d=1 t=74407
bao chu 	报出	c=1 d=8.22248e-22 t=17463
bao chu lai 	报出来	c=1 d=0.204948 t=17463
bao cun 	保存	c=90 d=1.00003 t=79078
bao cun dao 	保存到	c=1 d=0.0780817 t=17463
bao cun zai 	保存在	c=1 d=1 t=68874
bao cuo 	报错	c=15 d=0.1 t=74978
bao cuo le 	报错了	c=1 d=1 t=74979
bao da 	报答	c=1 d=1 t=45422
bao dao 	宝岛	c=1 d=1 t=50412
bao dao 	报道	c=2 d=1 t=44783
bao die 	保碟	c=1 d=1 t=39878
bao e 	保额	c=1 d=0.0144798 t=17463
bao fa 	爆发	c=1 d=1 t=48334
bao gao 	报告	c=8 d=1 t=47337
bao guo 	包裹	c=2 d=7.66708e-15 t=17463
bao han 	保函	c=1 d=1.07174e-21 t=17463
bao han 	包含	c=35 d=1.86936 t=76115
bao han 	暴汗	c=3 d=2.81956 t=77772
bao han le 	包含了	c=11 d=2.97025 t=62637
bao hu 	保护	c=4 d=1 t=79722
bao huan 	包换	c=1 d=1 t=68070
bao huan de 	包换的	c=1 d=1 t=46604
bao hui 	抱回	c=0 d=6.52859e-15 t=17463
bao hui qu 	抱回去	c=1 d=6.56132e-14 t=17463
bao kao 	报考	c=0 d=0.1 t=18538
bao kuo 	包括	c=5 d=1 t=71143
bao le 	饱了	c=2 d=1 t=78420
bao li 	保理	c=6 d=0.00699482 t=17463
bao li 	暴力	c=2 d=1 t=40068
bao li guan li 	保理管理	c=1 d=0.0702988 t=17463
bao ling qiu 	保龄球	c=1 d=0.000248517 t=17463
bao liu 	保留	c=3 d=1 t=60727
bao liu zi 	保留字	c=1 d=1 t=59794
bao lu 	暴露	c=7 d=1 t=72394
bao ming 	包名	c=1 d=1 t=46164
bao ming 	报名	c=9 d=1 t=73681
bao ni 	抱你	c=2 d=3.93736e-06 t=17463
bao qi lai 	包起来	c=1 d=1 t=60124
bao qian 	抱歉	c=1 d=1 t=30852
bao ren 	抱人	c=1 d=5.77638e-15 t=17463
bao shan 	宝山	c=7 d=1.85267 t=79840
bao shang 	报上	c=0 d=0.1 t=21177
bao ta 	宝塔	c=2 d=1.99005 t=67747
bao wei de 	包围的	c=1 d=3.68318e-15 t=17463
bao wen ping 	保温瓶	c=1 d=1 t=45185
bao wo 	报我	c=1 d=1.90204e-05 t=17463
bao wo 	抱我	c=1 d=1.28355e-25 t=17463
bao xia 	包下	c=1 d=1 t=59366
bao xian 	保险	c=1 d=2.89532e-07 t=17463
bao xiao 	报销	c=4 d=1.32629 t=27760
bao yang 	保养	c=3 d=0.000222774 t=17463
bao you 	包邮	c=7 d=1.00004 t=38590
bao you bu 	包邮不	c=1 d=1 t=22507
bao yuan 	抱怨	c=1 d=6.76459e-20 t=17463
bao zha 	爆炸	c=4 d=1.00275 t=62375
bao zhang 	保障	c=1 d=1 t=66847
bao zhao 	鲍照	c=1 d=1.96504e-06 t=17463
bao zhe 	包着	c=1 d=1 t=78395
bao zhe 	抱着	c=8 d=1 t=78397
bao zhen 	抱枕	c=2 d=1 t=41596
bao zheng 	保证	c=10 d=1 t=67692
bao zheng le 	保证了	c=2 d=1.51685 t=55133
bao zheng re 	包正热	c=1 d=1 t=43077
bao zheng ren 	保证人	c=4 d=0.100006 t=45402
bao zheng ren ming cheng 	保证人名称	c=1 d=1 t=45403
bao zhi 	报纸	c=2 d=1 t=62533
bao zhuang 	包装	c=5 d=1 t=62532
bao zhuang lei 	包装类	c=1 d=1 t=57972
bao zi 	包子	c=1 d=1 t=65337
bao zou 	抱走	c=3 d=2.51616e-05 t=17463
bei 	倍	c=1 d=1 t=18237
bei 	北	c=0 d=0.1 t=37484
bei 	呗	c=20 d=1.20236 t=42764
bei 	杯	c=0 d=0.00269169 t=17463
bei 	背	c=4 d=2.17273 t=22017
bei 	被	c=80 d=1 t=79540
bei 	贝	c=1 d=2.72152e-14 t=17463
bei bao 	背包	c=1 d=1 t=21032
bei bei 	贝贝	c=6 d=1.94189 t=28076
bei chong xie 	被重写	c=1 d=1 t=59264
bei da 	北大	c=2 d=1 t=66676
bei dai li 	被代理	c=3 d=1.38742 t=70387
bei dao 	被盗	c=0 d=0.1 t=56342
bei dao le 	被盗了	c=1 d=1 t=56343
bei fen 	备份	c=37 d=1 t=77861
bei fen biao 	备份表	c=1 d=1 t=18470
bei fu yong 	被复用	c=1 d=1 t=56617
bei guan 	悲观	c=2 d=1 t=73208
bei jing 	北京	c=7 d=1 t=65019
bei jing 	背景	c=13 d=1 t=72868
bei jing se 	背景色	c=2 d=1 t=46768
bei ke han mu 	贝克汉姆	c=1 d=1 t=75242
bei ke zhan 	北客站	c=2 d=3.66844e-09 t=17463
bei ni 	被你	c=3 d=1 t=75885
bei pian 	被骗	c=1 d=0.891366 t=17463
bei qi ta 	被其他	c=1 d=1 t=65479
bei qiang 	被墙	c=1 d=1 t=42382
bei shou quan 	被授权	c=6 d=2.55973 t=43007
bei shu 	倍数	c=1 d=1 t=38244
bei tong 	北通	c=1 d=1 t=26613
bei wang lu 	备忘录	c=1 d=1 t=54151
bei wo 	被我	c=2 d=1 t=74889
bei wo 	被窝	c=1 d=1 t=78385
bei xiu shi 	被修饰	c=1 d=1 t=64507
bei yang 	北阳	c=0 d=0.1 t=79135
bei yi lai 	被依赖	c=1 d=1 t=53710
bei yong 	备用	c=1 d=0.0695994 t=17463
bei yong lai 	被用来	c=1 d=1 t=66608
bei zeng 	倍增	c=2 d=1.90484 t=62391
bei zhu 	备注	c=30 d=1 t=78906
bei zhuang shi 	被装饰	c=1 d=1 t=62605
bei zhuang shi zhe 	被装饰者	c=1 d=1 t=62530
bei zi 	杯子	c=1 d=1 t=16381
bei zi 	被子	c=1 d=0.055299 t=17463
ben 	本	c=8 d=1 t=71368
ben 	笨	c=1 d=1 t=45931
ben ben 	本本	c=1 d=6.68931e-06 t=17463
ben cao gang mu 	本草纲目	c=1 d=1 t=73235
ben ci 	本次	c=2 d=0.000690366 t=17463
ben dan 	笨蛋	c=1 d=1 t=45929
ben de 	本的	c=1 d=0.00230521 t=17463
ben di 	本地	c=51 d=1.26897 t=70281
ben di cang ku 	本地仓库	c=1 d=1 t=49987
ben di hua 	本地化	c=1 d=0.00153381 t=17463
ben di ku 	本地库	c=4 d=3.3595 t=49793
ben ji 	本基	c=0 d=0.1 t=29539
ben ji 	本机	c=3 d=1 t=78205
ben ji neng 	本基能	c=1 d=1 t=29540
ben lai 	本来	c=9 d=1.90696 t=38641
ben lei 	本类	c=3 d=1.99356 t=58973
ben lei zhong 	本类中	c=1 d=1 t=58974
ben lie 	本列	c=1 d=1 t=20446
ben re 	本热	c=1 d=1 t=43002
