# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
a si dun lan se de kai fang jiang la sa 	阿斯顿蓝色的开放将拉萨	c=1 d=1.79744e-16 t=15081
a si dun san da fan shi dui fang 	阿斯顿三大范式对方	c=1 d=7.23881e-23 t=15081
a si fa 	阿斯法	c=1 d=2.29012e-13 t=15081
a si lan 	阿斯兰	c=0 d=5.65411e-29 t=15081
a si lan da fu ke ji lao ba si ling bu 	阿斯兰大富科技老爸司令部	c=1 d=5.68245e-28 t=15081
a si li kang 	阿斯利康	c=0 d=1.88439e-14 t=15081
a yi 	阿姨	c=5 d=1.96837e-18 t=15081
ai 	唉	c=10 d=0.0376294 t=15081
ai 	爱	c=2 d=3.28431e-17 t=15081
ai ai ai 	哎哎哎	c=1 d=2.20183e-21 t=15081
ai dao de 	挨刀的	c=1 d=1.39528e-07 t=15081
ai de 	爱的	c=0 d=3.10199e-25 t=15081
ai de fa 	爱德发	c=0 d=1.16342e-17 t=15081
ai de fa sheng dao 	爱德发升到	c=1 d=1.16925e-16 t=15081
ai fa sheng de 	癌发生的	c=3 d=3.60862e-16 t=15081
ai le 	爱了	c=2 d=2.70657e-09 t=15081
ai ni 	爱你	c=1 d=2.04851e-13 t=15081
ai ni you 	爱你呦	c=1 d=1.83787e-13 t=15081
ai qing 	爱情	c=1 d=4.69037e-06 t=15081
ai se lin dun 	埃瑟林顿	c=0 d=5.59785e-29 t=15081
ai shi jian 	挨时间	c=0 d=0.1 t=14929
ai shi jian fu lan ke 	挨时间弗兰克	c=1 d=1 t=14930
ai ya 	哎呀	c=2 d=3.42414e-10 t=15081
ai ya ya 	哎呀呀	c=1 d=7.78113e-20 t=15081
an 	按	c=3 d=0.551563 t=15081
an an 	按按	c=1 d=1 t=13033
an jia 	俺家	c=2 d=0.0220904 t=15081
an jian 	案件	c=5 d=1.2468e-17 t=15081
an jian hao 	案件号	c=5 d=4.82431e-17 t=15081
an li 	案例	c=1 d=1 t=13969
an lian 	暗恋	c=1 d=3.22832e-22 t=15081
an lian de 	暗恋的	c=1 d=2.95834e-25 t=15081
an ma 	俺妈	c=1 d=0.00195963 t=15081
an mo an mo 	按摩按摩	c=1 d=1.20568e-24 t=15081
an mo yi 	按摩椅	c=1 d=2.04802e-22 t=15081
an niu 	按钮	c=6 d=9.10431e-18 t=15081
an pai 	安排	c=1 d=1 t=13277
an shi fan 	按时返	c=0 d=1.17511e-17 t=15081
an shi fan shi da fu sa dan 	按时返士大夫撒旦	c=1 d=1.181e-16 t=15081
an tai ke 	安钛克	c=1 d=6.91087e-07 t=15081
an xia 	按下	c=1 d=3.9136e-23 t=15081
an zhuang 	安装	c=45 d=0.147894 t=15081
an zhuang bao 	安装包	c=5 d=3.26901e-23 t=15081
an zhuang de 	安装的	c=1 d=1.4605e-15 t=15081
an zhuo 	安卓	c=1 d=5.36447e-27 t=15081
ang 	昂	c=0 d=1.15223e-21 t=15081
ang si 	盎司	c=1 d=0.0217621 t=15081
ang si fa sheng de 	盎司发生的	c=1 d=6.17166e-29 t=15081
ao 	熬	c=2 d=0.000108366 t=15081
ao ye 	熬夜	c=1 d=7.50711e-10 t=15081
ba 	八	c=1 d=1.72637e-12 t=15081
ba 	吧	c=89 d=2.14689 t=15081
ba 	把	c=14 d=0.475057 t=15081
ba ba 	爸爸	c=5 d=0.000505481 t=15081
ba ba 	粑粑	c=1 d=1.0712e-15 t=15081
ba bai 	八佰	c=1 d=5.08447e-14 t=15081
ba de 	八德	c=0 d=7.85399e-13 t=15081
ba hua 	把话	c=1 d=5.82036e-16 t=15081
ba ni 	把你	c=3 d=4.07761e-06 t=15081
ba ni de 	把你的	c=1 d=0.0236356 t=15081
ba ren wu 	吧任务	c=1 d=3.94755e-07 t=15081
ba wo 	把我	c=1 d=3.68067e-07 t=15081
ba wo 	把握	c=1 d=2.76265e-14 t=15081
bai 	白	c=5 d=0.18418 t=15081
bai 	百	c=1 d=7.84305e-25 t=15081
bai chuang kou 	白窗口	c=1 d=5.47191e-25 t=15081
bai du 	百度	c=4 d=5.1117e-18 t=15081
bai du bai ke 	百度百科	c=3 d=2.78945e-23 t=15081
bai du wang pan 	百度网盘	c=1 d=1.31108e-10 t=15081
bai hao 	摆好	c=1 d=9.69094e-14 t=15081
bai hua mian 	白画面	c=1 d=2.61028e-23 t=15081
bai piao 	白票	c=1 d=1.27736e-27 t=15081
bai wan 	百万	c=1 d=4.24546e-10 t=15081
ban 	伴	c=0 d=2.64064e-13 t=15081
ban 	办	c=1 d=9.31254e-16 t=15081
ban 	半	c=1 d=3.46091e-18 t=15081
ban 	板	c=1 d=1.9906e-11 t=15081
ban 	版	c=11 d=0.00299743 t=15081
ban 	班	c=2 d=2.67329e-08 t=15081
ban ben 	版本	c=38 d=0.108235 t=15081
ban de 	版的	c=1 d=2.4192e-11 t=15081
ban gong 	办公	c=1 d=1.31765e-10 t=15081
ban jia 	半价	c=2 d=2.35498e-18 t=15081
ban jiao 	半角	c=1 d=4.78675e-10 t=15081
ban lang 	伴郎	c=1 d=1.59256e-05 t=15081
ban nian 	半年	c=1 d=2.96196e-10 t=15081
ban ping 	半瓶	c=1 d=0.0475963 t=15081
bang 	棒	c=1 d=5.75852e-08 t=15081
bang ding 	绑定	c=1 d=0.0409665 t=15081
bang ni 	帮你	c=2 d=1.0049e-14 t=15081
bang wo 	帮我	c=10 d=0.00463742 t=15081
bang zhu 	帮助	c=1 d=0.0017643 t=15081
bao 	包	c=19 d=0.0021173 t=15081
bao 	抱	c=1 d=5.83443e-15 t=15081
bao bao 	宝宝	c=2 d=2.81023e-09 t=15081
bao bao 	抱抱	c=4 d=0.966232 t=15081
bao bei 	宝贝	c=1 d=0.995012 t=15081
bao bei er 	宝贝儿	c=1 d=1.31063e-06 t=15081
bao biao 	报表	c=7 d=0.109701 t=15081
bao chu 	报出	c=1 d=8.22248e-22 t=15081
bao chu lai 	报出来	c=1 d=1 t=14764
bao cun 	保存	c=18 d=0.245665 t=15081
bao cun dao 	保存到	c=1 d=0.0780817 t=15081
bao cuo 	报错	c=8 d=0.0117679 t=15081
bao e 	保额	c=1 d=1 t=14234
bao gao 	报告	c=2 d=3.14512e-10 t=15081
bao guo 	包裹	c=2 d=7.66708e-15 t=15081
bao han 	保函	c=1 d=1.07174e-21 t=15081
bao han 	包含	c=6 d=0.403031 t=15081
bao hui 	抱回	c=0 d=6.52859e-15 t=15081
bao hui qu 	抱回去	c=1 d=6.56132e-14 t=15081
bao li 	保理	c=6 d=0.00699482 t=15081
bao li 	暴力	c=1 d=6.5839e-25 t=15081
bao li guan li 	保理管理	c=1 d=1 t=14550
bao ling qiu 	保龄球	c=1 d=1 t=13421
bao ming 	报名	c=3 d=4.35129e-26 t=15081
bao ni 	抱你	c=2 d=3.93736e-06 t=15081
bao ren 	抱人	c=1 d=5.77638e-15 t=15081
bao wei de 	包围的	c=1 d=3.68318e-15 t=15081
bao wo 	报我	c=1 d=1.90204e-05 t=15081
bao wo 	抱我	c=1 d=1.28355e-25 t=15081
bao xian 	保险	c=1 d=2.89532e-07 t=15081
bao xiao 	报销	c=1 d=4.70171e-05 t=15081
bao yang 	保养	c=3 d=0.000222774 t=15081
bao you 	包邮	c=1 d=0.0241131 t=15081
bao yuan 	抱怨	c=1 d=6.76459e-20 t=15081
bao zha 	爆炸	c=3 d=4.49705e-06 t=15081
bao zhao 	鲍照	c=1 d=1.96504e-06 t=15081
bao zhe 	抱着	c=7 d=0.00030564 t=15081
bao zhen 	抱枕	c=1 d=5.89307e-15 t=15081
bao zhuang 	包装	c=3 d=1.9072 t=13633
bao zou 	抱走	c=3 d=2.51616e-05 t=15081
bei 	呗	c=4 d=2.59256e-15 t=15081
bei 	杯	c=0 d=0.00269169 t=15081
bei 	背	c=1 d=1 t=13207
bei 	被	c=8 d=0.0972967 t=15081
bei 	贝	c=1 d=2.72152e-14 t=15081
bei bei 	贝贝	c=1 d=1 t=13224
bei fen 	备份	c=10 d=6.34664e-05 t=15081
bei jing 	北京	c=1 d=1 t=14495
bei jing 	背景	c=3 d=0.298499 t=15081
bei ke zhan 	北客站	c=2 d=3.66844e-09 t=15081
bei ni 	被你	c=1 d=1.06256e-08 t=15081
bei pian 	被骗	c=1 d=0.891366 t=15081
bei yong 	备用	c=1 d=1 t=14548
bei zhu 	备注	c=1 d=8.13374e-12 t=15081
bei zi 	被子	c=1 d=0.055299 t=15081
ben 	本	c=2 d=3.06405e-13 t=15081
ben ben 	本本	c=1 d=6.68931e-06 t=15081
ben ci 	本次	c=2 d=1.47951 t=13547
ben de 	本的	c=1 d=2.46547e-28 t=15081
ben di 	本地	c=9 d=0.193078 t=15081
ben di hua 	本地化	c=1 d=1 t=13785
ben lai 	本来	c=2 d=0.166127 t=15081
ben ren 	本人	c=1 d=2.79279e-24 t=15081
ben ti 	本体	c=1 d=1.88375e-09 t=15081
ben zi 	本子	c=1 d=5.47674e-06 t=15081
beng di 	蹦迪	c=1 d=1.52139e-25 t=15081
bi 	比	c=1 d=1.25824e-23 t=15081
bi 	逼	c=0 d=4.26008e-22 t=15081
bi a ke 	比阿克	c=1 d=3.32747e-26 t=15081
bi bei 	必备	c=0 d=0.1 t=14517
bi bi 	逼逼	c=1 d=7.12983e-21 t=15081
bi dui 	比对	c=5 d=5.08274e-10 t=15081
bi fang 	比方	c=1 d=3.31888e-25 t=15081
bi ji 	笔记	c=6 d=0.0299049 t=15081
bi jiao 	比较	c=14 d=0.0113895 t=15081
bi jiao hao 	比较好	c=1 d=1.25599e-05 t=15081
bi jiao jie guo 	比较结果	c=2 d=1.20468e-17 t=15081
bi jiao leng 	比较冷	c=1 d=1.80614e-14 t=15081
bi jing 	毕竟	c=2 d=0.00647375 t=15081
bi li bi li 	哔哩哔哩	c=1 d=1.95351e-25 t=15081
bi ou 	比偶	c=0 d=2.17695e-06 t=15081
bi ou shuo 	比偶说	c=1 d=2.18786e-05 t=15081
bi ru 	比如	c=1 d=2.78369e-15 t=15081
bi sai 	比赛	c=2 d=2.511e-08 t=15081
bi shang 	比上	c=0 d=2.87442e-11 t=15081
bi shang yi ge 	比上一个	c=1 d=2.88883e-10 t=15081
bi wo 	比我	c=2 d=3.17068e-17 t=15081
bi wo hao 	比我好	c=1 d=1.1906e-23 t=15081
bi xu 	必须	c=6 d=0.0015489 t=15081
bi ye 	毕业	c=1 d=2.81716e-20 t=15081
bi ye hou 	毕业后	c=3 d=2.90089e-20 t=15081
bi ye zheng 	毕业证	c=1 d=2.77122e-21 t=15081
bi ying 	必应	c=6 d=0.937583 t=15081
bi zhi 	壁纸	c=2 d=9.70538e-18 t=15081
bi zhong 	币种	c=70 d=0.468048 t=15081
bi zi 	鼻子	c=1 d=0.0157644 t=15081
bi zong 	比踪	c=1 d=1 t=14001
bian 	变	c=1 d=9.50713e-24 t=15081
bian 	边	c=1 d=1.51721e-22 t=15081
bian bai 	变白	c=1 d=4.35887e-26 t=15081
bian cheng 	变成	c=1 d=4.25573e-09 t=15081
bian cheng 	编程	c=3 d=0.0012006 t=15081
bian geng 	变更	c=3 d=0.0578443 t=15081
bian hao 	编号	c=2 d=1.00126 t=14406
bian hua 	变化	c=3 d=1.94444e-19 t=15081
bian ji 	编辑	c=5 d=0.028744 t=15081
bian jie 	便捷	c=1 d=1.02759e-26 t=15081
bian kuang 	边框	c=1 d=7.37876e-13 t=15081
bian li 	遍历	c=4 d=0.166861 t=15081
bian liang 	变量	c=14 d=0.0343896 t=15081
bian liao 	边聊	c=1 d=6.732e-22 t=15081
bian ling 	边零	c=1 d=3.71059e-14 t=15081
bian ma 	编码	c=5 d=0.900325 t=15081
bian pang 	变胖	c=1 d=3.39469e-26 t=15081
bian tian 	变天	c=1 d=7.43368e-12 t=15081
bian xie 	便携	c=2 d=0.00013699 t=15081
bian xie 	编写	c=2 d=4.3834e-25 t=15081
bian yi 	编译	c=0 d=0.000198925 t=15081
bian yi hou 	编译后	c=1 d=0.00199922 t=15081
bian zuo 	边做	c=1 d=6.76574e-22 t=15081
biao 	表	c=10 d=0.0934807 t=15081
biao da shi 	表达式	c=5 d=0.000143231 t=15081
biao fen qu 	表分区	c=1 d=1.21193e-26 t=15081
biao qian 	标签	c=5 d=2.05279e-10 t=15081
biao qing 	表情	c=1 d=0.000156102 t=15081
biao qing bao 	表情包	c=1 d=3.97693e-06 t=15081
biao shi 	标示	c=1 d=1.83943e-23 t=15081
biao shi 	表示	c=7 d=0.400855 t=15081
biao ti 	标题	c=1 d=4.64844e-18 t=15081
biao ti lan 	标题栏	c=1 d=7.00435e-18 t=15081
biao zhi 	标志	c=5 d=0.0135696 t=15081
biao zhi wei 	标志位	c=4 d=0.0116152 t=15081
biao zhong 	表中	c=1 d=7.5486e-17 t=15081
bie 	别	c=6 d=0.903125 t=15081
bie da si 	别打死	c=1 d=0.00351752 t=15081
bie de 	别的	c=4 d=0.0136524 t=15081
bie de shi 	别的事	c=1 d=1.39937e-12 t=15081
bie duo 	别多	c=0 d=0.0794534 t=15081
bie duo xiang le 	别多想了	c=1 d=0.798516 t=15081
bie gan jue 	别感觉	c=1 d=1.38568e-14 t=15081
bie jie yi 	别介意	c=1 d=0.00878245 t=15081
bie luan 	别乱	c=0 d=0.0540641 t=15081
bie luan xiang 	别乱想	c=2 d=1.48983 t=15081
bie mai 	别买	c=1 d=2.65018e-25 t=15081
bie ming 	别名	c=3 d=0.0368832 t=15081
bie nan guo 	别难过	c=1 d=0.486752 t=15081
bie pa 	别怕	c=1 d=2.92134e-24 t=15081
bie rang 	别让	c=1 d=4.87167e-11 t=15081
bie rang ta 	别让她	c=1 d=1 t=15027
bie ren 	别人	c=2 d=0.000355287 t=15081
bie shui 	别睡	c=2 d=8.28985e-22 t=15081
bie tan xiao pian yi 	别贪小便宜	c=1 d=0.551563 t=15081
bie ti 	别提	c=1 d=2.13015e-14 t=15081
bie ti le 	别提了	c=1 d=6.61127e-15 t=15081
bie wang le 	别忘了	c=1 d=8.02792e-05 t=15081
bie zai 	别再	c=1 d=0.367879 t=15081
bing 	并	c=8 d=0.761781 t=15081
bing bu 	并不	c=1 d=3.72336e-25 t=15081
bing bu pang 	并不胖	c=1 d=3.84538e-22 t=15081
bing chuang jian 	并创建	c=1 d=1.8727e-28 t=15081
bing du 	病毒	c=1 d=1.29424e-05 t=15081
bing du ku 	病毒库	c=2 d=9.56223e-09 t=15081
bing fa 	并发	c=5 d=0.00317957 t=15081
bing fan hui 	并返回	c=1 d=1 t=13646
bing le 	病了	c=1 d=0.0149956 t=15081
bing mei 	并没	c=0 d=7.78511e-27 t=15081
bing mei you 	并没有	c=1 d=1.94615e-10 t=15081
bing ren 	病人	c=2 d=5.26289e-08 t=15081
bing xing 	并行	c=1 d=1.09604e-20 t=15081
bo hui 	驳回	c=2 d=8.29068e-23 t=15081
bo ke 	博客	c=2 d=0.00139481 t=15081
bu 	不	c=36 d=0.469444 t=15081
bu a 	不阿	c=0 d=7.98355e-29 t=15081
bu ai 	不爱	c=2 d=2.74747e-08 t=15081
bu ba ni 	不把你	c=1 d=1.27428e-28 t=15081
bu bang ni 	不帮你	c=1 d=9.08261e-16 t=15081
bu bao han 	不包含	c=1 d=1 t=13532
bu bi 	不必	c=2 d=0.000370744 t=15081
bu bi yao 	不必要	c=1 d=1.37451e-07 t=15081
bu bu 	补补	c=1 d=6.51506e-19 t=15081
bu chang jian 	不常见	c=1 d=1.77895e-12 t=15081
bu chi yao 	不吃药	c=1 d=5.24289e-22 t=15081
bu chong 	补充	c=1 d=5.41377e-17 t=15081
bu chuan 	不传	c=1 d=1 t=13808
bu chuan ru 	不传入	c=1 d=1 t=13505
bu cun 	不存	c=1 d=3.0754e-11 t=15081
bu cun zai 	不存在	c=4 d=0.00551656 t=15081
bu cuo 	不错	c=1 d=1.80117e-11 t=15081
bu cuo bu cuo 	不错不错	c=1 d=4.56663e-15 t=15081
bu da 	不大	c=0 d=8.29664e-11 t=15081
bu da you xi 	不大游戏	c=1 d=8.33823e-10 t=15081
bu dao 	不到	c=3 d=0.0992613 t=15081
bu ding 	补丁	c=4 d=2.22436e-08 t=15081
bu dong 	不懂	c=1 d=5.60852e-21 t=15081
bu dou 	不斗	c=1 d=2.25059e-14 t=15081
bu dui 	不对	c=6 d=0.119433 t=15081
bu dui jin 	不对劲	c=1 d=0.631284 t=15081
bu duo de 	不多的	c=1 d=6.22203e-07 t=15081
bu fa sheng 	不发生	c=1 d=4.053e-23 t=15081
bu gan 	不敢	c=0 d=1.41026e-16 t=15081
bu gan dang 	不敢当	c=2 d=9.16082e-21 t=15081
bu gan mai 	不敢买	c=1 d=1.41733e-15 t=15081
bu gan shuo sha 	不敢说啥	c=1 d=2.46463e-24 t=15081
bu gao su 	不告诉	c=1 d=3.33325e-17 t=15081
bu gei 	不给	c=1 d=3.88447e-21 t=15081
bu gei wo 	不给我	c=2 d=5.89206e-13 t=15081
bu gen ta 	不跟他	c=1 d=6.03383e-28 t=15081
bu gou 	不够	c=2 d=1.81927e-11 t=15081
bu gou hua 	不够花	c=1 d=6.04945e-29 t=15081
bu gui 	不贵	c=0 d=1.16583e-12 t=15081
bu gui a 	不贵啊	c=1 d=1.17168e-11 t=15081
bu guo 	不过	c=4 d=8.67652e-06 t=15081
bu guo qu 	不过去	c=0 d=3.44072e-09 t=15081
bu hao 	不好	c=2 d=1.05199e-08 t=15081
bu hao kan 	不好看	c=2 d=7.00582e-20 t=15081
bu hao shi 	不好使	c=1 d=1.45296e-13 t=15081
bu hao shi 	不好时	c=1 d=1.44572e-13 t=15081
bu hao yi si 	不好意思	c=1 d=1.46757e-13 t=15081
bu hao yong 	不好用	c=2 d=1.48404e-19 t=15081
bu hao zhao 	不好找	c=1 d=2.86252e-20 t=15081
bu he 	不合	c=0 d=4.28886e-13 t=15081
bu he jiu 	不喝酒	c=1 d=9.60431e-26 t=15081
bu he ni 	不合你	c=1 d=4.31036e-12 t=15081
bu hong 	不哄	c=1 d=6.01109e-13 t=15081
bu huan 	不换	c=1 d=0.00516939 t=15081
bu huan ying 	不欢迎	c=1 d=0.0306538 t=15081
bu hui 	不会	c=7 d=0.220001 t=15081
bu hui 	不回	c=1 d=2.33234e-22 t=15081
bu hui ba 	不会吧	c=2 d=5.51274e-22 t=15081
bu hui de 	不会的	c=2 d=0.427415 t=15081
bu hui la 	不会啦	c=1 d=4.89775e-15 t=15081
bu hui qu 	不会去	c=2 d=6.90855e-10 t=15081
bu hui qu 	不回去	c=1 d=1 t=14492
bu hui qu le 	不回去了	c=2 d=0.00798652 t=15081
bu hui shi 	不会是	c=2 d=8.76723e-12 t=15081
bu hui ye qu 	不会也去	c=1 d=0.000198445 t=15081
bu hui you 	不会有	c=0 d=0.0379083 t=15081
bu hui you de 	不会有的	c=1 d=0.380983 t=15081
bu ji 	不急	c=2 d=1.39504e-05 t=15081
bu ji wu duan 	不机务段	c=1 d=1 t=15075
bu jia 	不加	c=1 d=1 t=13202
bu jian 	不见	c=2 d=5.13208e-06 t=15081
bu jian 	部件	c=1 d=2.88137e-09 t=15081
bu jian rong 	不兼容	c=1 d=3.7029e-19 t=15081
bu jiao 	补觉	c=1 d=1.12631e-17 t=15081
bu jiu 	不久	c=1 d=1 t=15048
bu ju 	布局	c=4 d=9.88601e-11 t=15081
bu ju er chong tian 	布局二重天	c=1 d=2.29527e-10 t=15081
bu ka 	不卡	c=1 d=1.00395e-17 t=15081
bu kai xin 	不开心	c=1 d=2.73609e-18 t=15081
bu kan 	不看	c=1 d=5.6493e-18 t=15081
bu kao lv 	不考虑	c=1 d=1.49696e-11 t=15081
bu ke 	不可	c=2 d=0.0141931 t=15081
bu ke neng 	不可能	c=3 d=2.99071e-06 t=15081
bu ke yi 	不可以	c=1 d=1.20757e-13 t=15081
bu kun 	不困	c=2 d=0.839457 t=15081
bu lai 	不来	c=2 d=6.22626e-15 t=15081
bu li ta 	不理她	c=1 d=0.00264522 t=15081
bu li wo 	不理我	c=3 d=7.98788e-05 t=15081
bu liao 	不了	c=7 d=0.000548915 t=15081
bu ma 	不吗	c=1 d=1.29759e-06 t=15081
bu mai 	不买	c=1 d=9.07952e-12 t=15081
bu mai 	不卖	c=1 d=5.49279e-11 t=15081
bu nei xiang 	不内向	c=1 d=2.29801e-24 t=15081
bu neng 	不能	c=14 d=0.00755912 t=15081
bu pa 	不怕	c=2 d=1.26861e-05 t=15081
bu pang 	不胖	c=0 d=3.8262e-23 t=15081
bu pei 	不赔	c=1 d=1 t=13223
bu pian ke 	不偏科	c=1 d=1 t=14315
bu pian ni 	不骗你	c=2 d=0.00488376 t=15081
bu piao liang 	不漂亮	c=0 d=0.1 t=14536
bu pin 	补品	c=1 d=6.41807e-19 t=15081
bu qi 	不起	c=0 d=0.000148848 t=15081
bu qing chu 	不清楚	c=1 d=4.38608e-11 t=15081
bu qu 	不去	c=8 d=0.000117395 t=15081
bu quan 	补全	c=1 d=1.57205e-28 t=15081
bu que 	不缺	c=1 d=0.216536 t=15081
bu que ding 	不确定	c=1 d=2.62836e-16 t=15081
bu ran 	不然	c=4 d=0.554327 t=15081
bu ru 	不如	c=1 d=4.10363e-22 t=15081
bu san 	不散	c=1 d=2.16381e-22 t=15081
bu shi 	不是	c=36 d=1.80788 t=15081
bu shi 	不适	c=2 d=1.82283 t=14674
bu shi de 	不适的	c=1 d=1.72696e-16 t=15081
bu shi hen 	不是很	c=0 d=1.93875e-25 t=15081
bu shi hen qing chu 	不是很清楚	c=1 d=1.94847e-24 t=15081
bu shi shi 	不是事	c=1 d=1.88081e-20 t=15081
bu shi ting duo 	不是挺多	c=1 d=3.45139e-15 t=15081
bu shu 	不熟	c=1 d=3.62021e-18 t=15081
bu shu fu 	不舒服	c=1 d=2.16831e-17 t=15081
bu shu ru 	不输入	c=1 d=7.84171e-23 t=15081
bu shui 	不睡	c=3 d=2.54851e-06 t=15081
bu shuo 	不说	c=1 d=4.8091e-06 t=15081
bu shuo le 	不说了	c=1 d=1 t=13230
bu suan 	不算	c=1 d=1 t=14663
bu tai 	不太	c=0 d=3.48063e-27 t=15081
bu tai hao ba 	不太好吧	c=1 d=3.49807e-26 t=15081
bu ting hua 	不听话	c=1 d=5.59595e-24 t=15081
bu tui jian 	不推荐	c=0 d=2.86252e-21 t=15081
bu wan 	不玩	c=1 d=5.56519e-18 t=15081
bu wei 	不为	c=1 d=3.78877e-24 t=15081
bu wei kong 	不为空	c=1 d=1 t=13104
bu xi 	不洗	c=0 d=5.70413e-15 t=15081
bu xi huan 	不喜欢	c=3 d=1.46732e-11 t=15081
bu xi le 	不洗了	c=1 d=5.73273e-14 t=15081
bu xian 	不限	c=4 d=1.60465e-10 t=15081
bu xiang 	不像	c=2 d=1.70312e-17 t=15081
bu xiang 	不想	c=4 d=1.57752e-10 t=15081
bu xiang 	不香	c=1 d=4.84654e-09 t=15081
bu xiang guan 	不相关	c=1 d=4.25197e-28 t=15081
bu xiang tan 	不想谈	c=1 d=3.85599e-25 t=15081
bu xiang yong 	不想用	c=1 d=1.29354e-28 t=15081
bu xiang zhao 	不想找	c=1 d=1.835e-24 t=15081
bu xin 	不信	c=5 d=0.451874 t=15081
bu xing 	不行	c=2 d=6.01633e-21 t=15081
bu xing le 	不行了	c=1 d=7.05528e-15 t=15081
bu xu yao 	不需要	c=2 d=0.192071 t=15081
bu xue 	不学	c=1 d=1.595e-22 t=15081
bu yao 	不要	c=6 d=0.811941 t=15081
bu yao de 	不要的	c=1 d=0.00119453 t=15081
bu yao teng 	不腰疼	c=1 d=7.20393e-25 t=15081
bu yi 	不一	c=0 d=1.13782e-20 t=15081
bu yi ding 	不一定	c=1 d=0.0137736 t=15081
bu yi qi 	不一起	c=1 d=1.14353e-19 t=15081
bu yi yang 	不一样	c=2 d=6.17711e-10 t=15081
bu yong 	不用	c=4 d=0.0921226 t=15081
bu yong ba 	不用吧	c=1 d=1 t=13420
bu yong le 	不用了	c=2 d=1.64614e-11 t=15081
bu yong liu 	不用留	c=1 d=1 t=14326
bu yun xu 	不允许	c=1 d=6.73314e-24 t=15081
bu za 	不咋	c=1 d=1.01125e-14 t=15081
bu zai 	不在	c=1 d=0.0290133 t=15081
bu zen me yang 	不怎么样	c=1 d=1.01353e-11 t=15081
bu zhao ge 	不找个	c=1 d=3.90283e-20 t=15081
bu zheng chang 	不正常	c=1 d=7.52654e-11 t=15081
bu zheng que 	不正确	c=3 d=1.49797e-10 t=15081
bu zhi 	不知	c=1 d=2.62792e-14 t=15081
bu zhi dao 	不知道	c=10 d=4.93778e-05 t=15081
bu zhi de 	不值得	c=1 d=2.08761e-12 t=15081
bu zhi xing 	不执行	c=0 d=9.53854e-05 t=15081
bu zhi xing geng xin 	不执行更新	c=1 d=0.000958635 t=15081
bu zhun bei 	不准备	c=1 d=0.00285124 t=15081
bu zi 	不自	c=0 d=1.66037e-25 t=15081
bu zi lian 	不自恋	c=1 d=1.6687e-24 t=15081
bu zu 	不足	c=2 d=0.0234019 t=15081
bu zuo 	不做	c=1 d=0.000133688 t=15081
